,cc,cc_x,cc_y,cc_smart,dphase_smart,coh,coh_freq,mean_motion,std_motion,mean_tempo,mean_tempo_dev,std_tempo_dev,ci68-min_dev,ci68-max_dev,dphase_cc,dphase,exp_n,musician,riot_type,factor1,factor2
19,-0.14379011997593727,17,0.13389264403140003,0.14647926814417178,-17,0.3031057402822083,2.734375,0.05507085402336463,0.00630948861955611,0.35181189042207794,8.799918831164283e-05,0.02478490777489185,-0.0012701136652339723,0.001446112041857258,0.14647926814417178,-17,2,Piano,head,high,No
20,-0.731217632190523,21,0.7876938040228287,0.8161532522178191,-18,0.9618168112231613,2.5390625,0.1112599252558355,0.019012911461382363,0.38961946010638304,9.345478723397807e-05,0.01948948751531912,-0.0010226366486767217,0.0012095462231446778,0.8160728460543111,-18,2,Accordion,arm,high,No
21,-0.11825617058136724,28,0.6832003020073362,0.6984643553780301,-11,0.8012893662378503,2.5390625,0.08716950294803134,0.020167757240215155,0.38961946010638304,9.345478723397807e-05,0.01948948751531912,-0.0010226366486767217,0.0012095462231446778,0.6978672542586156,-11,2,Accordion,head,high,No
22,0.03287852099711542,231,0.06094761788774316,0.029363606541094937,-3,0.1160722107633328,5.6640625,0.04167069088117009,0.00457212799129468,1.42845148828125,0.000605792968750074,0.04561221451420201,-0.004877167083197636,0.006088753020697784,0.03293674670301643,-1,2,Clarinet,arm,high,No
23,0.040377792330683795,3700,0.053347327366963126,0.05063802148328803,-14,0.23866052562417767,4.1015625,0.0608672782330325,0.008926205270010623,1.42845148828125,0.000605792968750074,0.04561221451420201,-0.004877167083197636,0.006088753020697784,0.05342277583369725,-13,2,Clarinet,head,high,No
24,0.00044205377028330814,262,0.03410940856527934,0.01828624186474804,9,0.24955365784515374,0.390625,0.0503814127289366,0.03259914541714057,0.24883921917040358,9.519786995516996e-05,0.022338413618417596,-0.0009220078865972241,0.001112403626507564,0.0225458369672066,10,3,Drum,arm,low,No
25,-0.03263726649792441,570,0.1445577139400027,0.014746111182874918,-12,0.2619530803006463,1.953125,0.09873408431421296,0.014620581587774127,0.24883921917040358,9.519786995516996e-05,0.022338413618417596,-0.0009220078865972241,0.001112403626507564,0.014746111182874918,-12,3,Drum,head,low,No
26,-0.0209951892615618,133,0.062019394394040916,0.04359008383879386,8,0.19035925017160252,1.5625,0.04814564259339621,0.005385924548253089,0.2499307138888889,2.9192777777758232e-05,0.005662340896774829,-0.0002275000095427007,0.0002858855650982172,0.043240171540900305,8,3,Cello,arm,low,No
27,0.02062557218980233,1005,0.07703667263616046,0.05744061194398614,5,0.2661515487499729,2.734375,0.08969118577016898,0.008263773688336655,0.2499307138888889,2.9192777777758232e-05,0.005662340896774829,-0.0002275000095427007,0.0002858855650982172,0.056397953169223344,5,3,Cello,head,low,No
28,0.03551788980962632,2443,0.07193990040821767,0.03820840561642685,5,0.14710090214276167,5.859375,0.05603628086157462,0.029466975235097493,0.7508531630434783,-0.0007094528985507492,0.03314371713652722,-0.0034226764686524445,0.002003770671550946,0.03961670979429344,5,3,Sax,arm,low,No
