,cc,coh,coh_freq,mean_motion,std_motion,mean_tempo,mean_tempo_dev,std_tempo_dev,ci68-min_dev,ci68-max_dev,dphase_cc,dphase,exp_n,musician,riot_type,factor1,factor2
147,0.06996590607031399,0.2870133400727379,2.5390625,0.0529056778532784,0.010632528624125726,0.38962813111888117,0.00042052622377616226,0.028205412152648587,-0.0011833592137332686,0.0020244116612855934,0.07315702362453917,0,13,Clarinet,head,high,Yes
148,-0.25900318909477493,0.7778343487849964,1.7578125,0.05027673214425376,0.0066962687219656964,0.619257316860465,-0.0011790610465115174,0.07490131975677458,-0.006671296624171454,0.00431317453114842,0.5092520864235641,-21,13,Sax,arm,high,Yes
149,-0.4842788015575518,0.8880440178079818,1.5625,0.07598485023448881,0.022689421555940305,0.619257316860465,-0.0011790610465115174,0.07490131975677458,-0.006671296624171454,0.00431317453114842,0.7556503326667806,-24,13,Sax,head,high,Yes
150,-0.21400789258491182,0.24174500306369767,2.5390625,0.0551672960171498,0.02484117613381686,0.7499643115942028,2.6992753623259045e-05,0.02023526652510822,-0.0016295143260460227,0.0016834998332925408,0.26888193979902586,-32,14,Cello,arm,low,Yes
151,-0.026536485729904316,0.7750436283344528,2.734375,0.1088523065579832,0.01687047674942519,0.7499643115942028,2.6992753623259045e-05,0.02023526652510822,-0.0016295143260460227,0.0016834998332925408,0.21858758535739795,-22,14,Cello,head,low,Yes
152,-0.05498367038405987,0.22847111961973257,5.46875,0.05776378607258293,0.00808479596597543,0.24986519495412846,0.0002040711009174175,0.007522822792282106,-0.0001423955975240718,0.0005505377993589068,0.05286670413602831,-12,14,Drum,arm,low,Yes
153,-0.12295965393254735,0.5923699502820328,3.90625,0.09290163375996567,0.010302440041706783,0.24986519495412846,0.0002040711009174175,0.007522822792282106,-0.0001423955975240718,0.0005505377993589068,0.23842362837520537,-8,14,Drum,head,low,Yes
154,0.002973141789721149,0.2086765413362272,2.734375,0.06526772078537517,0.02137317811964603,0.25011756607929514,0.00015952643171808018,0.010299424918947928,-0.00030531942048691847,0.0006243722839230788,0.0123423642559662,-5,14,Piano,arm,low,Yes
155,0.028522702790839093,0.1543394866591418,8.0078125,0.06624677687455258,0.01317323532109958,0.25011756607929514,0.00015952643171808018,0.010299424918947928,-0.00030531942048691847,0.0006243722839230788,0.03304548640554031,-2,14,Piano,head,low,Yes
156,-0.5062704583953178,0.7763502024876326,4.1015625,0.12732152337686561,0.015694557874543026,0.2500112831858407,8.960176991150831e-05,0.005764569776104528,-0.00017114659485766552,0.00035035013468068217,0.5652526078712554,-11,14,Accordion,arm,low,Yes
157,0.021670609425132655,0.4152587998929604,8.0078125,0.08609272694565608,0.00824224501405297,0.2500112831858407,8.960176991150831e-05,0.005764569776104528,-0.00017114659485766552,0.00035035013468068217,0.08888363354713104,-5,14,Accordion,head,low,Yes
158,0.0537175679015056,0.390966606246769,0.5859375,0.0451799105949513,0.005230142876829779,1.4997441666666667,0.00036583333333326527,0.044914499143743354,-0.005210321783750335,0.005941988450416865,0.2959949958866645,-28,14,Clarinet,arm,low,Yes
159,0.40065506483899066,0.9251293013535099,0.5859375,0.06919382653640194,0.021476747267767132,1.4997441666666667,0.00036583333333326527,0.044914499143743354,-0.005210321783750335,0.005941988450416865,0.7993175300785185,-23,14,Clarinet,head,low,Yes
160,-0.06947885299786517,0.25998470309316646,2.734375,0.05500645871801545,0.0055456995442851684,0.38041040209790217,-0.00010410839160845526,0.027473568268360556,-0.001666377924262914,0.0014581611410460036,0.10836640769677845,11,14,Sax,arm,low,Yes
161,-0.2653029619549343,0.5152915369763067,2.734375,0.0763719008961024,0.012004925413522018,0.38041040209790217,-0.00010410839160845526,0.027473568268360556,-0.001666377924262914,0.0014581611410460036,0.39036810561049345,13,14,Sax,head,low,Yes
