,cc,coh,coh_freq,exp_n,musician,riot_type,factor1,factor2
37,0.12423998482042316,0.8393939614745988,2.734375,4,Sax,leg,close,Yes
38,0.09881063224963947,0.7080747199039721,9.08203125,4,Accordion,head,close,Yes
39,0.17316984667384633,0.9500492607099965,1.26953125,4,Accordion,leg,close,Yes
40,0.09096649507416912,0.8043772444256925,5.2734375,4,Cello,head,close,Yes
41,0.04716492035116442,0.8599900752945239,1.26953125,4,Cello,leg,close,Yes
42,0.03683031931893362,0.636935337940145,4.296875,4,Piano,head,close,Yes
43,0.1544973852751343,0.9059486406914915,1.171875,4,Piano,leg,close,Yes
44,0.030461525487069888,0.8932089473636847,17.578125,4,Drum,head,close,Yes
45,0.04810302366700732,0.6694899752851611,29.1015625,4,Drum,leg,close,Yes
46,0.026058245416274918,0.6511921584352895,36.5234375,4,Clarinet,head,close,Yes
47,0.2152198812835878,0.9731544336814577,1.3671875,4,Clarinet,leg,close,Yes
48,0.04580328023325404,0.6089155111524879,29.4921875,5,Sax,head,low,No
49,0.14125467406018088,0.9247860677677564,0.68359375,5,Sax,leg,low,No
50,0.042816794299724376,0.8087603915733607,20.8984375,5,Accordion,head,low,No
51,0.05535247102502357,0.7780110198451098,6.8359375,5,Accordion,leg,low,No
52,0.08344487735414317,0.8894598610400606,2.05078125,5,Cello,head,low,No
53,0.032695288420244495,0.7081133102423147,49.21875,5,Cello,leg,low,No
54,0.07265224114083385,0.8320545474520266,24.51171875,5,Piano,head,low,No
55,0.0970030468042356,0.9020705413614871,4.00390625,5,Piano,leg,low,No
56,0.06965633348326562,0.8664634826883656,2.734375,5,Drum,head,low,No
57,0.02208988941966176,0.6941419311397187,49.4140625,5,Drum,leg,low,No
58,0.04416467328874325,0.6270773533168502,35.546875,5,Clarinet,head,low,No
59,0.05688727120740242,0.8036974982866969,2.05078125,5,Clarinet,leg,low,No
60,0.10185255237949078,0.9127124938626296,1.3671875,6,Sax,head,same,Yes
61,0.19239954108894244,0.9742181028366639,1.3671875,6,Sax,leg,same,Yes
62,0.1223174306226814,0.9159630311754587,1.3671875,6,Accordion,head,same,Yes
63,0.17270774135435674,0.9477669318189176,1.26953125,6,Accordion,leg,same,Yes
64,0.1268495178650142,0.9506764987883664,2.734375,6,Cello,head,same,Yes
65,0.13705766227416838,0.9092576479443353,1.3671875,6,Cello,leg,same,Yes
66,0.10357404126627011,0.8816097013277354,1.26953125,6,Piano,head,same,Yes
67,0.06398944840703422,0.7344350827058983,28.22265625,6,Piano,leg,same,Yes
