,cc,coh,coh_freq,exp_n,musician,riot_type,factor1,factor2
34,0.1090269130555543,0.812296651807591,31.640625,3,Clarinet,head,low,No
35,0.09334997417056583,0.7257006456002886,50.0,3,Clarinet,arm,low,No
36,0.09021510381014733,0.6962923444707008,1.3671875,4,Sax,head,high,No
37,0.08603519734581487,0.701369340923066,1.3671875,4,Sax,arm,high,No
38,0.10394070719469699,0.7930626273094972,1.171875,4,Accordion,head,high,No
39,0.1554245246977732,0.909479351576692,1.171875,4,Accordion,arm,high,No
40,0.03126154083430086,0.4304193352128355,20.703125,4,Cello,head,high,No
41,0.031554982803768644,0.5980946239094557,0.1953125,4,Cello,arm,high,No
42,0.14330721684664202,0.8321415507795836,1.46484375,4,Piano,head,high,No
43,0.03425987946009422,0.4680474721329184,15.234375,4,Piano,arm,high,No
44,0.01938154323620422,0.5691918774977616,40.91796875,4,Drum,head,high,No
45,0.007130905195612455,0.5738524414598343,25.9765625,4,Drum,arm,high,No
46,0.02264567983179126,0.5772758820771491,44.43359375,4,Clarinet,head,high,No
47,0.02318820071136117,0.5463746418719164,16.11328125,4,Clarinet,arm,high,No
48,0.13767566869429426,0.9054732091259144,0.9765625,5,Sax,head,low,Yes
49,0.07180605026193697,0.7065335977724534,0.9765625,5,Sax,arm,low,Yes
50,0.0991770125618332,0.7733923894321163,1.953125,5,Accordion,head,low,Yes
51,0.0849305039560049,0.8096488429265176,2.05078125,5,Accordion,arm,low,Yes
52,0.06090567413860628,0.6404420300797908,2.05078125,5,Cello,head,low,Yes
53,0.1335374366191368,0.9150470141275954,2.05078125,5,Cello,arm,low,Yes
54,0.1082072545572036,0.6596209377118064,2.05078125,5,Piano,head,low,Yes
55,0.033311580093410516,0.5968561443399777,2.734375,5,Piano,arm,low,Yes
56,0.03612145806203604,0.642514030473902,27.83203125,5,Drum,head,low,Yes
57,0.06776524846309279,0.7907440227473079,2.63671875,5,Drum,arm,low,Yes
58,0.1758947336019937,0.9623415925108411,1.3671875,5,Clarinet,head,low,Yes
59,0.030380209137215525,0.5459999986735472,42.1875,5,Clarinet,arm,low,Yes
60,0.0312832764087388,0.5839082589189405,29.39453125,6,Sax,head,high,Yes
61,0.03375956161679919,0.4940379613698234,10.546875,6,Sax,arm,high,Yes
62,0.10776843857447616,0.9011991941512242,1.66015625,6,Accordion,head,high,Yes
63,0.08610377887229126,0.8272636567619364,1.66015625,6,Accordion,arm,high,Yes
64,0.091184194494619,0.6923507341187244,2.34375,6,Cello,head,high,Yes
65,0.06564677305650146,0.8158252697798903,2.34375,6,Cello,arm,high,Yes
66,0.08983728123540635,0.5868956341422635,21.38671875,6,Piano,head,high,Yes
67,0.018600731414831546,0.4694723307221998,12.20703125,6,Piano,arm,high,Yes
68,0.11977400460370392,0.8426140663651801,5.17578125,6,Drum,head,high,Yes
69,0.04118064538869277,0.5516619133304529,41.6015625,6,Drum,arm,high,Yes
70,0.10915984722209691,0.846600689401967,0.68359375,6,Clarinet,head,high,Yes
71,0.11305215163758699,0.9238497079767222,0.68359375,6,Clarinet,arm,high,Yes
72,0.13987326339424255,0.9671784512857867,2.63671875,7,Sax,head,low,Yes
73,0.023009556149622395,0.5520554752582632,50.0,7,Sax,arm,low,Yes
74,0.1709630200333574,0.9586497085634882,4.00390625,7,Accordion,head,low,Yes
75,0.0928550261067087,0.9048436466015034,4.00390625,7,Accordion,arm,low,Yes
76,0.08352347274483665,0.8476269669231016,8.0078125,7,Cello,head,low,Yes
77,0.043671313794174126,0.6171018580652979,2.9296875,7,Cello,arm,low,Yes
78,0.05423723522225905,0.5039075693774965,42.7734375,7,Piano,head,low,Yes
79,0.01799495515129711,0.7287905865247218,47.75390625,7,Piano,arm,low,Yes
80,0.04271047811252698,0.7406510509371576,2.63671875,7,Drum,head,low,Yes
81,0.1881090575382627,0.9098145035292377,2.734375,7,Drum,arm,low,Yes
82,0.14818197214369258,0.9470668470810499,0.68359375,7,Clarinet,head,low,Yes
83,0.12987052497152632,0.9439524070002441,0.68359375,7,Clarinet,arm,low,Yes
84,0.09504504007352019,0.7347415030709851,0.68359375,8,Sax,head,high,Yes
85,0.07217393947974346,0.6802418666090485,0.68359375,8,Sax,arm,high,Yes
86,0.10254795391392972,0.895019321556571,1.171875,8,Accordion,head,high,Yes
87,0.04076186474805267,0.597723235693879,21.2890625,8,Accordion,arm,high,Yes
