,cc,coh,coh_freq,mean_motion,std_motion,mean_tempo,mean_tempo_dev,std_tempo_dev,ci68-min_dev,ci68-max_dev,dphase_cc,dphase,exp_n,musician,riot_type,factor1,factor2
104,-0.2619062878545937,0.9338301878102707,1.3671875,0.07241961696205855,0.018629071949714023,0.7502269607843137,9.068627450977978e-05,0.03511422093839967,-0.0032528563342318468,0.0034342288832514066,0.7264555130047365,-24,9,Sax,leg,same,Yes
105,-0.013987269016710104,0.899494764858411,1.3671875,0.06711785220444298,0.008349327823132142,0.7502269607843137,9.068627450977978e-05,0.03511422093839967,-0.0032528563342318468,0.0034342288832514066,0.5743084811513222,-19,9,Sax,head,same,Yes
106,0.01976396813973835,0.4039533979149641,3.7109375,0.06384389977771913,0.011358179372906306,0.3821376157407407,-0.00022280092592587544,0.012184209687396447,-0.0010200506901190762,0.0005744488382673254,0.026738890727325552,-1,10,Cello,leg,low,Yes
107,-0.036884345369188325,0.21661336335046516,6.8359375,0.11543099564408747,0.017673946064189545,0.3821376157407407,-0.00022280092592587544,0.012184209687396447,-0.0010200506901190762,0.0005744488382673254,0.04801235330166068,16,10,Cello,head,low,Yes
108,0.015082941906784199,0.266398673456431,2.5390625,0.13932202248590406,0.12883890022481445,0.326178373015873,-1.329365079362598e-05,0.013841152795485775,-0.0008517798195344206,0.0008251925179471686,0.01730276128026363,-4,10,Drum,leg,low,Yes
109,0.03866643083869016,0.4104297849323098,8.59375,0.10287381963023282,0.02573986819000675,0.326178373015873,-1.329365079362598e-05,0.013841152795485775,-0.0008517798195344206,0.0008251925179471686,0.06121767450641221,-5,10,Drum,head,low,Yes
110,0.021762894271822583,0.16160955528266316,0.78125,0.10478373229403018,0.010928788220456297,0.6610838983050848,0.003044915254237188,0.020492768884620274,0.0012307219946692983,0.004859108513805078,0.03342173358956747,-5,10,Piano,leg,low,Yes
111,0.034656647954704,0.33697782475368127,2.9296875,0.048486515629002594,0.005124733856782443,0.6610838983050848,0.003044915254237188,0.020492768884620274,0.0012307219946692983,0.004859108513805078,0.05346408770627265,-8,10,Piano,head,low,Yes
112,-0.04516271813137399,0.2708274639632948,5.46875,0.16160486528772544,0.060297296476112816,0.9329852564102564,0.008760897435897363,0.03478787621228026,0.004972944928880169,0.012548849942914558,0.07314651176974077,-41,10,Accordion,leg,low,Yes
113,-0.043383987459662376,0.2567028827042942,5.46875,0.08993950536039352,0.013004496092421243,0.9329852564102564,0.008760897435897363,0.03478787621228026,0.004972944928880169,0.012548849942914558,0.039797636418634395,32,10,Accordion,head,low,Yes
114,0.02224829331462034,0.26297798372251774,6.8359375,0.09550216393457682,0.024193823086706964,0.23744064245810054,-0.0004831005586592087,0.028547830814916332,-0.001934060797624131,0.0009678596803057136,0.023763155389285587,-1,10,Clarinet,leg,low,Yes
115,0.023194940357910563,0.21804388733029234,8.3984375,0.05148462230020293,0.00500662983454061,0.23744064245810054,-0.0004831005586592087,0.028547830814916332,-0.001934060797624131,0.0009678596803057136,0.0230790799504608,0,10,Clarinet,head,low,Yes
116,0.007087992032833078,0.29539314862407234,2.5390625,0.09333068749090115,0.01775677446496215,1.5472447368421052,-2.368421052623722e-05,0.07283120773366775,-0.011385549190737365,0.011338180769684892,0.06016332912976408,-23,10,Sax,leg,low,Yes
